LULING STREETS,LULING REPORTS
,"Reported high water on Barton Ave, Luling advised Dept. of Transportation and Development has already been contacted. 555-555-5555"
,"Advised that Lakewood Dr., Luling is flooded from West Heather Drive to Lakewood South Subdivision."
,"Advised alarm and light flashing at lift station at Barton Ave, Luling and Marcia Dr due to high water if we receive any other calls in regards to this station."
,"Advised need high water signs at River Road and LA 3060 (Barton Ave, Luling)."
,"Advised Ivy Lane, Luling in under water. Water is also half way up her yard @ 121 Ivy Lane, Luling. 985-785-6506."
,"Advised Barton Ave, Luling. needs to be closed due to water approaching doors."
,"High water reported on Talbot Drive, Luling. Trucks pushing water into yards. Gave to Mike Tregre to call in."
,"High water on 114 Badalementi St, Luling (985) 722-8764"
,Report high water 200 Arlington Drive in Luling
,"Requesting a deputy out to Lakewood and W. Heather, Luling, for high water."
,"High water on the 400 Block of Oak Lane and Fern Street, Luling."
,Report high water 25 W Levert in Luling.
,"Advised water has entered her home @ 229 Wade St., Luling. 504-266-9066"
,Report high water 804 Collier Dr. in Luling
,"604 Willowdale Blvd, Luling, 783-8877; Advised high water in the street."
,"Advised home flooded @ 105 Wade St., Luling 985-212-0505Ear"
,"High water at 122 Barton Ave, Luling. Gave to Mike Tregre."
,"Advised of high water on Valencia and Coronado Dr., Luling."
,"Advised the Cobbler Shop @ 406 Ellington Dr., Luling is flooding. Request sandbags as he cannot leave due to high water."
,"Advised home of Gary Champagne flooded @ 126 Barton Av, Luling"
,"Reports high water in her garage and that she lives next to pumps and does not hear them running. 413 Oak Ln in Mimosa Ave, Luling."
,Report high water and asked if the pumps were operating at 1040 Luling Estates Dr.
,Reported high water entering the home at 124 River Oaks Dr in Luling. Also reports near the intersection of Hwy 90 and River Oaks Dr there is an empty lot with a load of sand blocking drainage.
,Reported high water at 334 Wanda St in Luling. 843-372-9484
,"Advised deputy request barricades to define the road at 800 Milling Dr., Luling due to high water. There is a vehicle that has gone into the ditch."
,"High water at 1035 Luling Estates, Luling, water in house, near 2 inches, need sandbags. 504-427-9184"
,"Advised high water at the 1000 block of Luling Estates, Luling 504-515-3849"
,"426 Luling Ave, high water in the yard that is affecting her facilites."
,"Advised she received a call from a resident on Paul Frederick St, Luling. that stated the road was flooded and the 80 Arpent Canal only has 6"" of water in it."
,"Advised of a water leak from an unknown source at the end of Evergreen Ct., Luling. End of roadway is flooded and ground is very soft. 985-785-5308."
,"Advised high water on the street at 217 Wanda Street, Luling. Contact: 785-8508."
,"105 Wade Street, Luling 785-6712; high water in street and yard, and it's about two feet away from her house."
,"246 Michael Drive, Luling Street Flooding- Barry spoke to resident. Advised that Cousins PS Pump #2 which is now operating was causing issue. Water receding."
,Advised they are going to be closing the Sellers Canal Sector Gate due to high water. (Luling)
,Advised of high water at 1040 Luling Estates Dr.
,Reported high water on LA-18 on-ramp to I-310. (Luling)
,Advised that high water is coming into her garage. 614 Milling Ave. Luling 985-785-8579
,Advised that there was high water on her street. 336 Courville Dr. Luling 985-785-6627.
,"Advised of street flooding on Ivy Lane, Luling in Lakewood."
,"Advised; Street flooding in the area of Talbot Drive, Milling Ave, and Post Street in Luling."
,Advised of high water in the Street area at 339 Lakewood Drive in Luling.
,Advised of high water on Barton St. in Luling.
,Advised of high water on 316 Lakewood Dr Luling 5044607806
,Advised; Marcia Drive and Nola high water in Luling.
,"Advised of high water on W. Heather and Lakewood Dr., Luling Public Works is currently in the area at this time."
,"Deputy advised via radio of high water on Wade St., Luling and Hwy 90."
,Advised of high water at 20 E. Levert Dr. Luling 5042506806
,"121 Ivy Lane, Luling; Advised that the street is flooded."
,Reported high water outside of 135 and 141 Loupe St. in Luling. 347-314-9440
,"Requested Barton Ave, Luling. be closed by St. Charles Sheriff's Office in areas of high water to prevent cars from pushing water into homes."
,Reported high water at 124 River Oaks St. in Luling. 225-715-1159
,"Advised he spoke to someone from Wastewater regarding sewage issues @ 800 Kinler St., Luling. He was told to limit his water usage as high water is causing his issue. Wanted to have this information clarified."
,Reported high water in cleanout valve at 800 Kinler St. in Luling. 985-722-8311
,Reported high water in drainage areas near 922 Kinler St. in Luling. 504-451-1823
,"Advised street flooding Barton Ave, Luling and Celia Ct. Request notify Dept. of Transportation and Development"
,Advised street flooding on East Heather and Ashland Dr in Luling. He lives 105 Ashland Drive. 985-785-8844
,"Advised lift station light is flashing at Barton and Marcia, Luling. No action taken advised to disregard due to high water by Dale Jordan."
,"Request Deputy and Dept. of Transportation and Development to shut down Barton Ave, Luling at River Road due to high water."
,"Advised daeputy reports the 100blk of Barton Ave, Luling is completely flooded."
,Advised of high water @ 330 Corville Luling. Canal between Sugarhouse Rd. and Monsanto is full. Pumps are not running.
,"Requested Barton Ave be closed due to high water. She lives @ 177 Celia Dr., Luling."
,"Advised cars are travelling fast through the high water and pushing wake to the doors on Post Dr., Luling. EOC will notify dispatch."
,"Advised the high water on Miling Ave., Luling doesn’t appear to be going down. Public Works is out in the area."
,Advised of high water in the area of Ivy Lane in Lakewood. The address of the caller is 128 Ivy Lane in Luling. Cell Phone number is(504) 239-6204.
,"Advised at 523 Monsanto Ave, Luling there is some high water but they are ok and the rain has stopped. Advised the pump station or a lift station is not running. Advised that all three pumps are running at Kelogg. Advised the other one is not on."
,"Advised it has not rained in over an hour and they still have high water at 514 Kellogg, Luling Advised the pumps must not be working!"
,"121 Ivy Lane, Luling 785-6506; street flooded."
,Advised that Santa Cruz Court in Luling has high water in the street.
,"Reporting that Barton Ave, Luling by River Road has high water in the street."
,Advised high water in the area of 300 Block of Davis Drive in Luling.
,Advised of high water not moving 106 Lori Ct. in Luling.
,Reporting high water at I-310 & LA18. (Luling)
,"There is a honda on Barton Ave, Luling, stalled out due to high water."
,"Advised high water at LA 52 & Bradwall Street, high water in the 100 block of Wade St., Luling and high water on Monsanto Avenue."
,"Advised high water on Gassen St, Luling."
,"Advised that Mimosa Avenue, Luling is flooded. Advised him that the pumps are working."
,"Requesting we have Department of Transportation block Barton Ave, Luling from LA18 to River Road for high water"
,High water Marcia Drive in Luling request barricades to block off Barton and Marcia.
,"110 Mimosa Ave, Luling; Advised high water and doesn't appear to be draining. Advised the pumps are working and Public Works is aware that Mimosa Ave, Luling is flooded."
,"Arrlington Drive Willowdale Blvd, Luling high water."
,"Advised he has closed Barton Ave., Luling 100% due to high water."
,High water 5th in Luling. (Advised Public Works).
,"Advised Post Dr., Luling is completely flooded. 985-688-0818."
,"High water 390 Barton Ave, Luling."
,"Advised Sugarhouse Rd. and Courville Dr., Luling is flooded. Several cars are stuck in the road."
,Advised high water 1040 Luling Estates in Luling.
,"Reporting high water at 330 Davis Dr, Luling. Advised he's about to flood, requesting something like a diesel pump to remove water from his area."
,Advised Kinnler street in Luling has high water.
,"Reporting high water on 108 Mimosa Avenue, Luling."
,"Advised her home @ 105 Wade St., Luling has flooded. She also request the street be closed. 985-212-0505."
,"Reporting high water on 6th st, Luling, behind the hospital."
,"Advised of high water on Barton Ave, Luling (LA 3060) between River Rd (LA 18) and the railroad tracks."
,"105 Badalmenti Street, Luling 504-319-4084; Advised the business behind her has a major water leak and her backyard is flooded."
,Advised that Ivy Lane in Luling (Lakewood West) is flooded.
,Requested barricades for Gassen St. in Luling due to high water on the street being foot from homes. 504-641-0489
,Advised of high water on Luling Estates Dr.
,Reported high water on Milling St. in Luling
,Requested barricades near 330 Courville Dr. in Luling due to high water being pushed close to homes by passing cars. 504-247-8693
,Reported street flooding on Post St. in Luling and on Barton Ave. from LA-18 to the railroad tracks.
,"Advised high water signs are needed at the Monsanto entrance at River Road, Luling"
,Requested I relay to the Public Works road crew an issue with high water where I-310 meets LA-18. (Luling)
,Reported high water in front of 301 Fourth St. in Luling. 504-616-8936
,Reported high water in front of 312 Luling Ave. 504-312-2791
,Reported high water on 500 block of Ellington Ave. in Luling. 985-210-3147
,Reported high water on Milling St. and Talbot Dr. in Luling. 985-722-4126
,"Advised of the following road closures: Talbot Dr., Miling Ave from Talbot to Hall Dr, Post Dr, Luling and Ellington to Sugarhouse Rd., and Courville to Milling Ave, Luling. Emergency vehicles can pass, but he wants to limit traffic due to high water."
,"Advised deputies report high water on River Rd. and Barton Ave, Luling. and request high water signs be placed. Cars may not be able to make it."
,"Advsied of high water @ 500 Diane Dr., Luling. EOC will have Public Works check the area PS ad ditches."
,"Advised of high water @ 507 Terri Dr., Luling. EOC will have Public Works check the area PS and ditches."
,"Advised of high water @ 222 Davis Dr., Luling. EOC is aware and Public Works has crews in the area to check ditches and drains."
,"Advised high water at 105 Wade St., Luling. Advised that the pumps are working, but will have a crew check that area."
,"Advised, high water on Barton Ave, Luling. near Celia Dr. and between River Rd. and the first set of railroad tracks."
,"Advised of high water @ Ivy Ln., Luling."
,Advised of high water/poor drainage on Lone Star Dr. in Luling. He would like to talk to someone in Public Works about drainage. 504-858-4362.
,"Requesting someone check on the pump near 508 Monsanto Drive, Luling. no sound of the pump running. High water in area."
,"Requesting High Water signs out to Barton Ave, Luling between the railroad tracks and River Road."
,Reported high water at intersection of Barton Ave. and Celia Dr. in Luling.
,"1040 Luling Estates Drive, Luling 985-817-6156; high water."
,Advised she lives at 177 Celia Dr in Luling and that the road is flooded and so is Barton Avenue.
,"Confirmed they received a call in regards to high water on Barton Ave, Luling. @ River Rd. When the deputy got onscene, the water had drained."
,"Advised high water at 1040 Luling Estates Drive, Luling."
,Reported high water on Ellington St. in Luling.
,Advised of high water on Ivy Ln. in Luling.
,"Advised of high water @ 207 Post Dr., Luling."
,"Reported high water on Courville Dr. in Luling, not draining. 985-785-6627"
,Reported high water on 700 block of Milling Ave. in Luling.
,Request for traffic control due to high water on Lakewood Dr. in Luling from West Heather Dr. heading back to Lakewood South.
,Advised high water on 212 N Oak Ct. in Luling and sewage coming from the cleanout on the road.
,Reported high water near Mimosa Ave. and Penn St. in Luling. 504-430-8658
,Advised of a broken water main called in by a worker Donnie O'Neil that is flooding Luling Elementary School. Luling
,"Reported high water in the back of Mimosa St, Luling by the canal."
,Reported high water around 512 Kellogg St. and all of Monsanto Ave. in Luling. She also advised that the pumps there are not on. 504-508-3508
,Advised red light flashing on lift station next to his home at 108 Laurie Ct in Luling. Advised it was probably due to high water from all the rain. He advised he doesn't have high water advised I would call Wastewater
,Reported high water on 200 block of Maryland Dr. in Luling. 504-739-8933
,Reported high water in street on 500 block of Monsanto Ave. in Luling. 504-275-8661
,"Reported high waterat 425 Oak Ln. in Luling, and red light flashing at lift station. 985-785-0941 Alternate cell number is 504-618-0204"
,Advised the right lane of LA 18 between Ashton Plantation and I-310 is flooded. Luling
,Advised high water 1040 Luling Estates Drive.
,"Advised Milling Ave, Luling. between Courville and Talbot is flooded."
,Reported high water on Monsanto St. in Luling. 985-210-4969
,"Advised of water in home @ 303 Milling Ave., Luling. Approx. 3"" throughout. 601-795-5103."
,"110 Lac Felicity in Luling, 979-240-4738; Advised high water in his area."
,"Advsied of water in the home @ 124 Wade Street in Luling, 504-559-1969. She had 1"" in the home."
,"1104 Primerose Dr., Luling. Approx. 1"" rear. 504-722-5532. (water in home)"
,"Advised of water in home @ 213 Bradwall Street in Luling, 985-722-8339. Had 1"" in the home."
,"Advised water in home at 1220 Paul Malliard Rd. Apt 1 in Luling. Advised 2-3 inches of water throughout home. Advised she has asthma and had to rip up her carpet, daughters mattress and box spring is ruined. Provided Red Cross number to call. She also advised landlord is coming today to look at everything."
,Request 25 sandbags for 1022 Kinler St in Luling advised 3 doors and a loww spot on home that takes in water during high water situations. Elderly and no vehicle.
,"220 Monsanto Avenue in Luling, 504-237-0916; Advised there is high water and not draining."
,"Reporting high water at 922 Kinler St, Luling, 985-785-6395. Last week he called, a culvert truck passed and did nothing. Water high, no help. Threatening to dig his own cut-through ditch from the front ditch to the drainage canal behind his house."
,Advised at 121 Ivy Ln in Luling the street is flooded. 504-407-7190
,Advised ditches are full and yard flooded at 212 Monsanto Ave in Luling
,Advised high water in the 200 block of Maryland Drive in Luling.
,"Request High Water signs for LA-18 and Barton Ave, Luling."
,"507 Monsanto Avenue in Luling, 504-439-1024; Advised high water by her house and by her son's house at 903 Fern Street in Luling."
,Reported high water 400 block of Oak Lane in Luling.
,"130 Gassen St, Luling. high water."
,"Advised corner of Post St, Luling and Milling high water. Reported to Public Works"
,Advised high water 1040 Luling Estates Dr.
,"Advised high water 207 Post Dr, Luling."
,"Advised high water and pump not running at 507 Monsanto Ave, Luling."
,High water on Gassen Street in Luling.
,High water at 220 Ellington Avenue in Luling.
,High water at 708 Milling Avenue in Luling.
,High water at 614 Milling Avenue in Luling. Advised her that Public Works was just notified about the high water on Milling Avenue.
,"Advised high water at 203 Maryland Dr., Luling, Apt. A."
,High water on Talbot Drive in Luling.
,High water on Valencia Drive in Luling.
,"Reported high water, water in home, at 213 Bradwall St. in Luling. 985-722-8339"
,"Reported high water at 203 Maryland Dr. in Luling. 504-339-1298 (confirmed with Brandon, EOC, that this was already called in)"
,Advised high water 1253 Luling Estates Dr in Luling advised she has water in her car.
,High water on Post Drive in Luling.
,"Reported high water, water in home, at 200 Court St. in Luling. 504-915-4706"
,"High water at 6th Street off of Milling Ave, Luling."
,Relayed call from citizen Patrick Dufrene (504-559-3102) concerning houses close to flooding near 309 Talbot Dr. in Luling. Requested Public Works bring sandbags.
,"Reported water in homes all down Luling Estates Dr. Advised, a high water vehicle is en route to 1070 Luling Estates Dr. to rescue someone."
,"Advised street flooding at 519 Gassen Street in Luling, 985-210-4546."
,Reported high water at 202 Post St. in Luling. 504-428-5879
,Reported water in home again at 200 Court St in Luling. Advised she just wanted to report it. Advised she has reported issues to Public Works already and they are working on solution.
,Advised street flooding at 207 Post Street in Luling and need barricades to stop vehicles.
,"Water in house today at 714 Milling Avenue, Luling. 2"" in front room, previously a garage now a living area. 504-301-5977. Also flooded on May 14th, 2020."
,"Reporting high water on Ivy Lane, Luling. 504-407-7190"
,"Advised that Lakewood Dr, Luling. from West Heather Dr. to South Lakewood Subdivision is having street flooding."
,"Reporting high water in the 100 block of Wade St, Luling."
,"Reporting high water on W. Heather Ave, Luling, between George Cousins and Lakewood Dr."
,Reported high water at 123 Lonestar Dr. in Luling. 504-667-2065
,"Reporting high water at 507 Terri Dr, Luling. 9885-785-8393"
,"Reporting high water at 1040 Luling Estates, Luling."
,"Reported high water on Barton Ave, Luling. between River Rd. and the first set of railroad tracks."
,"Reporting high water at 297 East Heather, Luling, between Bocage and Willowdale Blvd, Luling you can't see where the side of the road is. 504-338-7040"
,"Reporting high water at 215 Monsanto Avenue, Luling."
,Reported water in back of home and cars speeding down flooded street at 229 Wade St. in Luling. 504-266-9066
,Reported high water close to houses along the 200 block of Maryland Dr. in Luling. 985-331-8972
,"Wants to speak to someone regarding the high water on Lonestar, Luling. 504-667-2065"
,Reported high water at 20 Walnut Pl. in Luling. 504-617-0389
,"Reporting high water at 504 Monsanto Ave, Luling. Is the spare pump running?"
,Reported high water in front of 13899 River Rd. in Luling.
,"Reporting high water at 10 Chestnut Ln, Luling. 504-717-0543"
,"Reporting high water at 323 Barton Avenue, Luling. 504-810-8265"
,"Reporting high water on Barton Avenue, Luling between the tracks and River Road."
,Reported high water at intersection of LA-18 and Barton Ave. in Luling.
,"12325 LA 18 in Luling, 985-722-0193; Advised high water on Lone Star Drive."
,"Damage: 209 Barton Ave, Luling. flooding/water in home from winds pushing, right under the wall from porch. Minor shingle damage. 504-250-5887"
,Advised that high water signs are needed on LA 18 at Queenie Dr. in Luling.
,Advised high water Ivy Ln and Lakewood Dr in Luling.
,"Reporting high water at 212 Monsanto Ave, Luling. 985-314-5693"
,Advised Easy Street in Luling is flooded near Gassen Street.
,Advised high water at 213 Monsanto Ave in Luling. Advised cars are driving by and pushing water into the yard.
,"Reported high water near 922 Kinler St. in Luling caused by the pump on Hackberry never shutting off, thus water does not move in their area. 504-451-1823"
,"Reporting high water on Barton and Celia, Luling. Recommends high water signs at a minimum."
,"Advised deputy request road closed signs @ Ormond Blvd between River Rd and the tracks, also LA48 @ Sings Ln., Luling due to high water."
,"Reporting a tree down at 615 Paul Frederick St, Luling. High water."
,"Reporting high water at 212 Monsanto Ave, Luling. 985-314-5693"
,Advised high water on Post Drive in Luling. Advised that Public Works has been notified.
,Advised high water on Monsanto Avenue in Luling and garbage cans blocking drains.
,Advised need high water signs on LA 18 at Sings Lane in Luling and on River Road at the St. Charles / St. John Parish lines.
,Reported high water at intersections of Murray Hill Dr. and LA-48 in Destrehan and Jackie B St. and LA-18 in Luling.
,"Reported the pump station on Willowdale Blvd, Luling. not running with high water in the area. 504-606-7518"
,"Advised deputy reported high water on Post St, Luling from Milling Ave to Ellington."
,Advised high water at Marcia Dr. and Barton Ave. in Luling. Also reports of high water on River Rd. in front of IMTT. She confirmed there are already permanent high water signs at that location.
,Advised high water in front yard. 212 Monsanto Ave Luling. 985-314-5693
,Advised water in home (garage) at 212 Monsanto Ave Luling.
,"Advised that Barton Ave, Luling between LA 18 and the Union Pacific Railroad tracks is flooded."
,Advised high water on Lori Court and Terri Drive in Luling. High water in the Coronado Park area.
,Reported water in home (garage) at 218 Monsanto Ave in Luling. 621-4024
,Reported water in home at 105 Wade St. in Luling. Advised wake from traffic passing through is pushing water in home. 985-212-0505
,"Advised still high water on Milling Avenue, Post Street and Hall Drive in Luling."
,"High water on the 300 block of Post Dr, Luling. Didn't leave name or number, just informing us."
,"Water in home: she received a call from Barbara Washington, 149 East Heather Drive in Luling, 504-875-9841."
,"Reporting high water, water in home (garage) 300 Maryland Dr, Luling. Teri Tate 504-235-6925"
,"Water in home - advised he had 1/2 inch of water in the back of his house, not whole house. 323 Barton Ave, Luling. 504-810-8265."
,Advised his neighbor at 325 Davis Drive in Luling cleanout cap is missing. Advised it must have floated away with the high water this morning.
,"Advised high water Lakewood Dr., Luling, 52 tiny, Jackie B & River Road, 400 Block of River Road unpassable."
,"Reported street flooding on Bernice Dr. from Chestnut, Luling to Elm St. 504-722-1155"
,"Advised that a deputy is reporting high water in the 600 block of Paul Frederick St, Luling and heading south. Advised buses can pass, but not sure about regular vehicles."
,Advised flooding at 105 Wade Street in Luling.
,"Advised the roadway is flooded 136 West Heather Dr., Luling. 985-722-8001."
,"Advised of flooded roadway @ 121 Ivy Ln. Lakewood Dr., Luling. 504-407-7190."
,"218 Monsanto Avenue in Luling, 504-621-4024; street is flooded and needs barricades because vehicles have pushed water into her garage."
,"Advised Barton Avenue and Chestnut St, Luling in Luling is flooded."
,Advised flooding at 110 Mimosa Avenue in Luling.
,"Advised on two calls reporting water in garages; 212 Monsanto Ave, Luling. 218 Monsanto Ave, Luling. No reports of water in homes."
,"Advised need road closed signs at Lakewood Dr., Luling and West Heather Drive due to high water."
,"504-439-1024; Advised flooding in the 500 block of Monsanto Ave, Luling."
,"Reporting high water on Barton Avenue, Luling, closest to River Road, requesting road closed barricades."
,"Advised street flooding in the 300 block of Lakewood Dr., Luling."
,"Reporting high water near 109 Monsanto, Luling. Requesting barricades to stop traffic."
,"Advised Post and Milling Ave in Luling have high water, requesting barricades. 985-785-0732"
,"Advised of high water on Maryland Dr., Ormond and Hermitage Dr (reported the Parish is now on scene there), and Barton Ave from River Rd to Chestnut, Luling (already known)."
,Advised need barricades at 107 Oak Lane in Luling because street is flooded and vehicles are pushing water.
,"Reporting high water on 200 block of Monsanto Ave, Luling. Barricades requested."
,Reported high water in drainage ditch near US-90 and Willowdale Blvd. in Luling.
,Reported high water at the corner of Lowe St. and Bamboo St. in Luling. 985-783-2611
,"213 Bradwall St, Luling Advised they are starting to flood about 2 inches from getting into the home and neighbors tree hit corner of home."
,"Damage: 128 Mimosa Avenue in Luling, 504-717-3942; roof damage and water in home."
,Reported high water signs needed at LA 18 and Loupe St. in Luling.
,"Reports of street flooding on Ford Ln, Barton Ave., Mimosa Ave, Luling, and Wade St., Luling"
,"Ormond from Airline flooded. 100blk Barton. 1st Wade St., Luling Courthouse to Avalon. Mimosa Ave, Luling. Hwy 90 @ I310 onramp."
,"Reported high water in the area of DeSoto Dr, Luling., Wants someone to check the pump."
,"Advised of high water @ West Heather and Lakewood Dr., Luling"
,"Advised of roadway flooded @ Willowdale Blvd, Luling to Savanah."
,"Advised of water in homes 200blk Monsanto Ave, Luling."
,"Updated on flooded roadways: 100blk Oak Ln., Riverbend (all), Pine St., BG, Harry's One Stop Montz, Sheila Ct., Luling, Old Spanish Trail @ 4th St., Boutte."
,"Updated on flooded roadways: 139 Dixie Dr., Fonda St., Monsanto Ave., 200blk Santa Cruz Ct, Luling."
,"Water is going down, Dept. of Transportation can pick up high water signs on Barton Ave (LA 3060), Luling."
,"Water in home during the storm at 113 Wade St, Luling. 504-382-9501"
,Reported high water in front of 13899 River Rd. in Luling.
,Advised of high water @ 1040 Luling Estates. Rain is heavy and the water came up really fast. Requested the pumps be checked.
,Reported high water in clogged culverts at 353 Evelyn Dr. in Luling. 504-606-7518
,"Advised the only report of high water is Barton Ave, Luling closest to River Rd. Advised we have Public Works personnel here in the EOC and they are aware of it. I also advised of rain rates and rainfall totals around the parish."
,"Reported high water on LA-18 between Paul Maillard Rd. and Barton Ave, Luling. (relayed to Public Works in EOC)"
,Reported high water on Milling Ave. in Luling from Talbot Dr. and Courville Dr. (relayed to Public Works in EOC)
,Reported high water on Ivy Ct. in Luling. 504-407-7190 (relayed to Public Works in EOC)
,Reported high water at 212 Monsanto Ave. in Luling. 985-314-5693 (relayed to Public Works in EOC)
,"Advised of water in home @ 113 Wade St., Luling. Stated water entered his garage and rear room, which is on the left side of the home when looking from the street. 504-382-9501."
,"Per call earlier from citizen regarding high water on Luling Estates, he advised he is at the pump station and all pumps are operating as normal."
,Advised high water on Luling Estates Dr in Luling
,"High water on roadways at Collier Drive in Luling at Courville Dr and Post, 600 block of Magnolia Ridge Drive, 200 block of Ormond Blvd and 2200 block of Ormond Blvd., Destrehan"
,"Advised of high water at Lakewood Dr., Luling and East Heather Ct. in Luling."
,Called for a status update. I advised we received one high water call in Luling on Paul Maillard Rd. and another on Milling Ave. and Courville Dr. in Luling. Pumps are running in various parts around the parish.
,"Advised that the pump station across from 164 W Heather Dr, Luling is flooding the street. They live at 301 St John St, Luling. 504-701-5246"
,"Called to see why pumps are not running since there is still high water in the canals along Hwy 90 and South like the one by Willowdale Blvd, Luling. Advised I would pass the information on to Public Works."
,"Reporting high water at 113 Fourth St, Luling. Water getting close to garage. 504-417-3908"
,Advised street flooded at 109 Monsanto Avenue in Luling.
,"Reporting high water at the intersection of Luling Ave and Talbot, Luling"
,"Reporting high water, water in garage, at 226 Cross Street, Luling 985-785-6611"
,"Reporting high water at 102 Wade Street, Luling 504-915-7131"
,Advised high water at 218 Monsanto Ave. in Luling.
,Reported high water on Barton Ave and LA 18 in Luling.
,"Reporting high water on 121 Ivy Ln, Luling."
,"Reporting high water on Kinler St, Luling."
,"Reporting high water and water in home at 105 Wade Street, Luling. Need to stop traffic - Public Works is bringing barricades"
,"Citizen reported water in home at 200 Bradwall St, Luling."
,"Reported high water in front of 109 Monsanto Ave, Luling. behind the Sonic. 504-214-6193"
,Reported high water at 105 Wade St. in Luling. 985-212-0505.
,Reported high water at 14199 Old Spanish Trail in Luling behind the Race Trac.
,"Advised that Barton Ave, Luling is flooded and needs to be barricaded. Advised him that Dept. of Transportation has already been notified about Barton Ave, Luling."
,Reported high water at 500 Monsanto Ave in Luling and 118 Ormond Meadows Dr. Destrehan.
,Reported high water at 330 Davis Dr. in Luling.
,Advised that Post Drive in Luling has street flooding. Added to Planner.
,Advised street flooding on Davis Drive in Luling. Advised her that has been already reported to Public Works.
,Reported high water at 1003 Kinler St. in Luling. 504-373-2063
,Street flooding on Milling Avenue in Luling between Post Street and Sixth Street and need barricades.
,Advised high water on 176 North Oak Ct. in Luling. 985-785-9996.
,"Advised that they have received reports of street flooding on Barton Avenue at River Road in Luling, but the road is passable."
,Reported high water and possibly sewer backup at 164 West Heather Dr. in Luling. 504-912-5747
,"Via radio to 911: Advised that sections of Paul Fredrick Street, Luling are flooded."
,High water at 218 Wanda St in Luling. Advised water to the door. (504) 559 -8783. (Placed in Planner)
,Reported high water 340 Davis Dr in Luling. Advised water in addition/shop attached to home.
,"332 Barton Ave., Luling water in home front door. 504-264-8104. Reported to Planner."
,Reported high water 123 and 228 Wade St in Luling
,"Advised of flooded roadway at 827 Milling Ave., Luling. Reported to Planner."
,Reported via email - water in home 215 St. Nicholas St. in Luling. 504-905-4798 Reported to Planner
,Reported via email - water in home 600 Ellington Ave. Luling 504-481-8737 Reported to Planner
,Reported high water and house flooded at 1202 Paul Frederick St. (Corner of Hackberry) in Luling. 985-817-5946
,"Reported high water on 600 block Kinler St., Luling Not in home, just street and canals flooded. Reported to Planner."
,"Advised Courville Dr., Luling is flooded and needs to be closed. Reported to Planner."
,"Advised of water in home at 113 Wade St., Luling. 504-382-9501. Reported to Planner."
,Water in home at 129 Lewis the fist St. in Luling (504)432-3253. Placed in planner.
,Water in home and sewage backing up at 323 Barton Ave in Luling
,"Advised traffic lights flashing at Hwy 90 & Lakewood Dr., Luling. High water at Ormond Blvd., Destrehan & US 61, and at Ormond Blvd., Destrehan & LA 48."
,"Advised of water in home at 121 Park Lakewood Dr., Luling 985-703-3942. Reported to Planner."
,"Reporting water in home at 206 Davis Dr, Luling. 1"""
,Advised water in home 300 Evelyn Dr. Luling 504-444-1395. Reported to Planner.
,"Advised of water in home at 301 St. John St., Luling. 504-701-5246. Reported in Planner."
,"Reporting water in home at 301 3rd St, Luling."
,"Advised water in home at 1041 Luling Estates Drive in Luling, 504-655-3491."
,"Updates: Trees down 310 SB to La48 down ramp, Hackberry and Jones Luling, 800blk Paul Frederick. Low lines LA48 and Vans Ln. Street flooding; Norco Apple St not passable, 3rd St and Goodhope, flooded. Rivebend St Rose 8"" water. Destrehan East handing not passable. Luling estates flooded. Debris in roadway Apple St and LA48."
,Water in Home at 139 Wanda St. in Luling (504) 699 -6339
,"Reporting water in home at 1046 Luling Estates, Luling. Seeping in through walls."
,Advised water in home at 122 Barton Ave. in Luling. Reported to Planner.
,"Advised of water in home at 1006 Kinler St., Luling. 504-559-8599. Reported to Planner."
,Advised water in home at 121 Wade St. in Luling. Reported to Planner.
,"Advised water in home at 219 St. Anthony Street in Luling, 504-460-2280."
,"Advised that LA-627, Norco is flooded and not passable, Marino Dr, Norco is flooded, There is a blown transfomer at 137 Oak Ln, Luling, and low hanging wires at 17420 River Rd, Montz. Reported to planer."
,"Advised water in home at 312 Luling Avenue in Luling, 504-312-2791."
,"Advised of water in home at 1035 Luling Estates Dr., Luling. 504-723-9309. Reported to Planner."
,"Advised of flooded roadway on Luling Estates Dr., Luling. Reported to Planner."
,"Advised of water in home at 1028 Luling Estates Dr., Luling. 504-232-1991. Reported to Planner."
,"Advised water in home at 806 Kinler Street in Luling, 504-417-5666."
,Reported via email - water in home 207 St. Nicholas St. Luling. Reported to Planner
,Reported via email - water in home 327 Davis Dr. Luling. Reported to Planner
,Reported via email - water in home 229 Wade St. in Luling. 504-256-3466 Reported to Planner
,"Advised of water in home at 311 Post Dr., Luling. 504-559-0393. Reported to Planner."
,"Advised high water at 1028 Luling Estates Drive in Luling, 985-210-6198."
,"Advised of water in home at. 609 Ellington Ave., Luling. 504-460-7725. Reported to Planner."
,"Advised 300blk of Anna St., Ama not passable. 1070 Luling Estates Dr., Luling water in home. Powerlines down by US90 and JB Green Rd., Paradis."
,Reported via email - water in home 1023 Luling Estates Dr. Luling. Reported to Planner
,Reported via email - water in home 904 Kinler St. in Luling. Reported to Planner
,Reported via email - water in home 837 Milling Ave. Luling. Reported to Planner
,Reported via email - water in home 212 Arlington Dr. Luling. Reported to Planner.
,Email: water in home at 326 Davis Dr. in Luling. (placed in Planner)
,Email: flooding inside house at 200 Court St. in Luling. (placed in Planner)
,Water in home 321 Post Dr in Luling.
